Topic,Count,Name,Representation,Representative_Docs
108,110,108_fëmijët_fëmijëve_tanë_fëmijë,"['fëmijët', 'fëmijëve', 'tanë', 'fëmijë', 'fëmijës', 'fëmija', 'zyber', 'miqtë', 'prindërit', 'mendor']","['Në këtë marrëveshje bëhet fjalë edhe për të drejtat e fëmijëve, për parandalimin e dhunës ndaj fëmijëve dhe të rinjve.', 'Nuk mendoni ju se duhet të hetojmë? Ne kemi, grupin e deputetëve “Miqtë e fëmijëve”, dhe atje jemi shumë të mirë të gjithë për të bërë foto së bashku me fëmijët, por, kur vjen puna për çështje konkrete të fëmijëve këtu pastaj ndahemi.', 'Duhet të mendojmë për këta fëmijë si të jenë fëmijët tanë, sepse fëmijët janë të pafajshëm.']"
109,109,109_parlamenti_parlamentin_shqipërisë_parlament,"['parlamenti', 'parlamentin', 'shqipërisë', 'parlament', 'parlamentit', 'shqiptar', 'deputetët', 'kuvendin', 'kuvendit', 'deputetëve']","['Po Parlamenti i Shqipërisë ku është? Parlamenti i Shqipërisë me kryetarin e partisë në fuqi flet për tokën e askujt.', 'Parlamenti shqiptar nuk ka kaluar asnjë dokument formal. Tani po e lëmë përsëri parlamentin shqiptar pa një dokument të tillë.', 'Ne jemi një parlament që s’kemi asnjë dokument tjetër. Nuk është e vërtetë. Parlamenti shqiptar nuk ka kaluar asnjë rezolutë.']"
110,108,110_konvente_konventë_konventës_protokollit,"['konvente', 'konventë', 'konventës', 'protokollit', 'konventa', 'ndryshues', 'ngacmimin', 'ilo', 'ratifikimin', 'legjislacionin']","['Shqyrtimi i projektligjit “Për ratifikimin e konventës nr. 190 të ILO-s”, “Konventa për dhunën dhe ngacmimin”, është një hap më tej në legjislacionin shqiptar për eliminimin e dhunës dhe ngacmimin në botën e punës.', 'Ne po sjellim sot këtu para jush projektligjin “Për ratifikimin e protokollit ndryshues të Konventës për Mbrojtjen e Individëve në lidhje me Përpunimin Automatik të të Dhënave Personale, nr.', 'Kalojmë në pikën tjetër, projektligji “Për ratifikimin e protokollit ndryshues të Konventës për Mbrojtjen e Individëve në lidhje me Përpunimin Automatik të të Dhënave Personale”.']"
111,107,111_veprimtarisë_vjetor_vjetore_raporti,"['veprimtarisë', 'vjetor', 'vjetore', 'raporti', 'vitin', 'raportin', 'paraqesë', 'komisionerit', '2021', '2022']","['7. Raporti i veprimtarisë vjetore të Komisionerit për Mbrojtjen nga Diskriminimi gjatë vitit 2022 (neni 26 i ligjit nr.', 'Raporti vjetor i veprimtarisë së Komisionerit për të Drejtën e Informimit dhe Mbrojtjes së të Dhënave Personale për vitin 2021 (neni 31 i ligjit nr.', 'Kalojmë në pikën tjetër të rendit të ditës: “Raporti i veprimtarisë vjetore të Kontrollit të Lartë të Shtetit për vitin 2021.” Në bazë të nenit 31 të ligjit nr.']"
112,105,112_huas_ratifikimin_ndërmjet_marrëveshjes,"['huas', 'ratifikimin', 'ndërmjet', 'marrëveshjes', 'republikës', 'kfw', 'huamarrësi', 'zhvillim', 'bankës', 'rindërtim']","['Njoftime Projektligji “Për ratifikimin e marrëveshjes së huas ndërmjet Republikës së Shqipërisë dhe Bankës Ndërkombëtare...', 'Vazhdojmë me projektligji “Për ratifikimin e marrëveshjes së huas ndërmjet Republikës s¸ Shqipërisë dhe Bankës Ndërkombëtare për Rindërtim dhe Zhvillim, për financimin shtesë për projektin “Përmirësimi i Sistemit të Shëndetësisë”.', '(Debat në sallë) Projektligji “Për ratifikimin e marrëveshjes së huas ndërmjet Republikës së Shqipërisë (huamarrësi)...']"
113,105,113_mbetjeve_landfill_ajrit_mbetjet,"['mbetjeve', 'landfill', 'ajrit', 'mbetjet', 'pastrimit', 'ndotjen', 'pastrimin', 'mbetje', 'riciklohen', 'ndotur']","['Cili mjedis është shkatërruar? Mjedisi është përmirësuar qenësisht pikërisht nga kjo mazhorancë. Është kjo mazhorancë që ka vendosur moratoriumin e pyjeve; është kjo mazhorancë që ka vendosur moratoriumin e gjuetisë; është kjo mazhorancë që po ribën një ligj dinjitoz për menaxhimin e integruar të mbetjeve, falë edhe asistencës dhe bashkëpunimit me Bashkimin Europian; është kjo mazhorancë që ka bërë edhe investime të tjera në infrastrukturë, qoftë të mbetjeve, qoftë ato mjedisore, ku jo më larg se vetëm 10 vjet më parë gjithçka derdhej në lumenj, nëpër tokë; është kjo mazhorancë që ka ndërtuar, ka performuar më mirë edhe në krijimin e agjencive ligjzbatuese në fushën e krimit mjedisor; është kjo mazhorancë, që prej vitesh të tëra ka bërë një ligj për mbrojtjen e pyjeve dhe që prej kohës kur kam marrë këtë detyrë, mund ta konfirmoj, por sigurisht shkon edhe përtej mandatit tim në këtë post, nuk kemi hequr, nuk kemi kaluar asnjë ligj dhe asnjë VKM për heqje fondesh pyjore e me radhë; është kjo mazhorancë që ka krijuar edhe një sistem dhe po e ndërton të integruar, për të gjitha të dhënat në sistemin mjedisor; është kjo mazhorancë që shtriu nga 17% të territorit, të vendosur po nga ne në periudhën 2015- 2017, me ligjin e zonave të mbrojtura, në 22% të territorit “zonë e mbrojtur”.', 'Po, duhet unifikuar. Ky model nuk duhet të fillojë nga mesi, por duhet të fillojë nga fillimi, atje ku, patjetër, çdo bashki duhet të ketë ndërmarrjen e saj publike, që merret me grumbullimin e mbetjeve e pastaj vazhdon me stacionin e ndërmjetëm të trajtimit të mbetjeve atje, me atë fabrikën e riciklimit, që duhet të shpërndajë të ardhura në çdo bashki e jo thjesht të jetë vetëm një ndërmarrje fitimprurëse atje ku është krijuar e, në fund fare, edhe në landfill.', 'Në vitin 2013 vetëm 15, 6 % e mbetjeve depozitoheshin në landfill. Sot 70 % e mbetjeve të vendit shkojnë në një pikë fundore me kushte sanitare optimale, që është landfill djegës dhe prodhues energjie, thënë ndryshe impiant i menaxhimit të mbetjeve.']"
114,99,114_paratë_para_parave_paguan,"['paratë', 'para', 'parave', 'paguan', 'jepni', 'kujt', 'morëm', 'paraja', 'këto', 'kush']","['Jo si modeli juaj: jap 2 milionë euro për të marrë një pasuri të paluajtshme, të jashtëzakonshme, si modeli i Butrintit, ku ai thotë: të jap 4 milionë euro, por ti në shkëmbim më jep një pasuri të paçmueshme; ti në shkëmbim më jep të ndërtoj; ti në shkëmbim më jep t’i marr unë paratë e biletave, paratë e restoranteve, gjithçka tjetër, dhe ta bëj si dua unë e të mos i jap llogari as Kontrollit të Lartë të Shtetit!', 'Ç’është ky, sekret? Paratë e kujt po japin, po e ripërsëris, paratë e xhepit po japin këta?', 'Këtu duhet të shkojë hetimi, atje ku kanë shkuar paratë, sepse po ndoqëm paratë, do të kuptohet se ku kanë shkuar, si kanë dalë dhe si kanë ikur paratë.']"
115,98,115_minuta_diskutime_diskuton_orë,"['minuta', 'diskutime', 'diskuton', 'orë', 'koha', 'rregullores', 'nenit', 'ndahet', 'debatit', '45']","['(Shprehen grupet parlamentare.) Koha e votimit 9. Diskutime për çështje jashtë rendit të ditës (në mbështetje të nenit 45 të Rregullores së Kuvendit: Çdo deputet mund të flasë jo më shumë se 5 minuta dhe nëse diskuton në emër të grupit parlamentar, jo më shumë se 8 minuta.', 'Koha e votimit 6. Diskutime për çështje jashtë rendit të ditës (në mbështetje të nenit 45 të Rregullores së Kuvendit: Çdo deputet mund të flasë jo më shumë se 5 minuta dhe nëse diskuton në emër të grupit parlamentar, jo më shumë se 8 minuta.', 'Diskutime (Shprehen grupet parlamentare.) Koha e votimit 10. Diskutime për çështje jashtë rendit të ditës (në mbështetje të nenit 45 të Rregullores së Kuvendit, çdo deputet mund të flasë jo më shumë se 5 minuta dhe, nëse diskuton në emër të grupit parlamentar, jo më shumë se 8 minuta.']"
116,98,116_procesverbalit_plenare_lexon_datës,"['procesverbalit', 'plenare', 'lexon', 'datës', 'ditës', 'rendin', 'miratimi', 'seancës', 'fillojmë', 'rendit']","['(Pasi lexon rendin e ditës.) Fillojmë me çështjet sipas rendit të ditës. Miratimi i procesverbalit të seancës plenare të datës 17.10.2024.', '(Pasi lexon rendin e ditës.) Fillojmë me çështjet, sipas rendit të ditës. Miratimi i procesverbalit të seancës plenare të datës 12.9.2024.', '(Pasi lexon rendin e ditës.) Fillojmë me çështjet sipas rendit të ditës: miratimi i procesverbalit të seancës plenare të datës 2.10.2023.']"
117,97,117_diasporës_votën_diasporën_diaspora,"['diasporës', 'votën', 'diasporën', 'diaspora', 'votës', 'vota', 'emigrantëve', 'emigrant', 'kushtetuese', 'diasporë']","['Sa i përket çështjes së diasporës, unë jam pjesë e diasporës, por dikush këtu për një arsye që nuk e kam kuptuar kurrë, nuk më përfshiu, me gjithë dëshirën time të madhe, edhe publike, e kam shprehur dëshirën për të qenë pjesë e votës së diasporës, por dikush ka pandehur se po bëja shumë PR me emrin e diasporës dhe nuk donte të më përfshinte, por nuk më shqetëson fare.', 'Ne kemi marrë për bazë propozimin që kanë sjellë disa deputetë të opozitës për të përfshirë votën e diasporës.', 'Pra, qartazi, sepse e keni sjellë këtë histori vërdallë e vërdallë, duke thënë “jo nuk janë për votën e diasporës”, “nuk e pranojnë votën e diasporës”, “se vota e diasporës do t’i rrëzojë nga pushteti” e të tjera, jeni, apo nuk jeni?']"
118,96,118_ai_amerikës_amerikane_ambasadorët,"['ai', 'amerikës', 'amerikane', 'ambasadorët', 'amerikanë', 'amerikanët', 'tij', 'fliste', 'rublat', 'bashkuara']","['Ja edhe një pasazh tjetër që flet për familjen e tij, të shpallur non grata nga Shtetet e Bashkuara të Amerikës për korrupsion: “Pasi ai erdhi në pushtet, abuzimet e tij ishin të panumërta.', 'Pra, në rast se një person ka konflikt me të gjithë ambasadorët amerikanë, po përjashtoj këtu zotin Rajerson, tregon se nuk janë gabim ambasadorët, gabimi është te ky.', 'Dua t’i them të gjithë opinionit publik që ky është i vetmi që ka pasur pothuajse të njëjtën marrëdhënie konfliktuale; ka sharë, ka fyer, ka denigruar pothuajse të gjitha ambasadorët amerikanë që nga Mariza Lino, tek, i ndjeri, zoti Limpreht, te Xhejms Xhefri, pastaj te Marsi Ris, te Viti 2023 136 Legjislatura e 10-të Xhon Uidhërsi, Aleksandër Arvizu, Donald Lu-ja, dhe natyrshëm në fund dhe me zonjën e nderuar, Juri Kim.']"
119,94,119_rritje_ekonomike_rritja_vitin,"['rritje', 'ekonomike', 'rritja', 'vitin', 'rritur', 'rrit', 'vendor', 'ardhurat', 'bruto', 'miliardë']","['Të ardhurat e vetë pushtetit vendor për vitin 2025 parashikohet të rriten me rreth 3,6 miliardë lekë ose 10% më shumë.', 'Po, si parim është e vërtetë që mund të ndodhë që rritja ekonomike në numra nuk sjell asgjë, por, kur shoqërohet apo kur është 4% në vit dhe kur vetëm 3-mujori i dytë, që kanë dalë numrat, është 4,1% e GDP-së dhe është shoqëruar me rritje të punësimit, madje jo vetëm me rritje të punësimit, por edhe me rritje të pjesëmarrjes në forcat e punës, natyrisht që ka ndikim; kur paga në ekonomi është rritur, sipas Bankës së Shqipërisë, jo sipas qeverisë, me 14%- 15%, dhe nuk flas për rritje në sektorin publik, por për rritjen në ekonomi, pra të pagës në ekonomi, 14%-15%, natyrisht që ka ndikim; kur rritja ekonomike shoqërohet edhe me rritje të konsumit, i cili vetëm për 6-mujorin e parë të këtij viti është 5,23% dhe në tremujorin e dytë 5,26%, natyrisht që rritja ekonomike ka ndikim në ekonomi, pra është rregulli nr.', 'Të ardhurat e pushtetit vendor nga viti 2015, në vitin 2023, janë rritur me rreth 17,4 miliardë lekë, ndërkohë që krahasuar me vitin 2022 janë rritur me rreth 1,5 miliardë lekë.']"
120,93,120_debat_debatin_debati_lutem,"['debat', 'debatin', 'debati', 'lutem', 'debate', 'mbyllim', 'pyetje', 'debatojmë', 'përgjigjet', 'pyetjet']","['Prandaj, ju lutem shumë, nuk keni pse bëni debat për një çështje, për të cilën debat është i humbur qysh në fillim!', 'Jo, ju i bëtë pyetjet dhe tani do të dëgjoni përgjigjet, debat nuk ka. Po të ishte parashikuar debat në këtë pikë, do t’jua jepja fjalën, por debati vjen më pas.', 'Si nuk doli ndonjë prej jush ta bëjë këtë pyetje dhe të bëjë edhe një mocion me debat, pa debat, me pyetje apo me interpelancë?']"
121,92,121_emiratet_arabe_bashkuara_dubai,"['emiratet', 'arabe', 'bashkuara', 'dubai', 'emirateve', 'marrëveshje', 'saudite', 'dubain', 'ekstradimi', 'nusreti']","['Ervin Salianji – Faleminderit! Tani, se ku është arritja e qeverisë shqiptare kur kjo është një marrëveshje e kërkuar nga Emiratet e Bashkuara Arabe, ministri mund ta gjejë, sepse ka arritje, por përfaqësuesit e qeverisë, të dy zëvendësit tuaj në Komisionin e Sigurisë, thanë se kjo është një marrëveshje e kërkuar nga Emiratet e Bashkuara Arabe.', 'Emiratet e Bashkuara Arabe nuk kanë marrëveshje ekstradimi me asnjë vend. Kanë një marrëveshje tepër të vjetër që në kohët kur Emiratet e Bashkuara Arabe nuk ishin një destinacion shumëllojësh, jo vetëm turistik, e cila edhe ajo nuk zbatohet sot.', 'Emiratet e Bashkuara Arabe nuk kanë një marrëveshje të tillë me shtete të rëndësishme, nuk kanë me asnjë shtet.']"
122,92,122_fbi_amerikane_ish_zyrtar,"['fbi', 'amerikane', 'ish', 'zyrtar', 'cia', 'agjent', 'shefin', 'korruptuar', 'lartë', 'agjenti']","['A mendoni që drejtuesi i kundërzbulimit të FBI-së në Nju-Jork mund ta angazhojë FBI-në në një hetim, ku burimi i informacionit nuk është zyrtar, nuk është gjykata, nuk është prokuroria, nuk është OPGJ-ja, nuk është Drejtoria e Hetimit të Pastrimit të Parave?', 'Kjo praktikë të ngjan edhe me skandalet e tjera të qeverisë, si ajo me ish-agjentin e lartë të FBI-së apo me inceneratorët, me koncesionet apo me tenderët, sepse Kryeministri në mënyrë të hapur u ka dhënë miqve të ish-drejtuesit të FBI-së tenderë publike dhe investime strategjike.', 'Në fakt, prej më shumë se 1 muaji, opinioni publik shqiptar dhe ndërkombëtar është njohur me një nga dosjet më të pista të FBI-së: korruptimin nga ana e Kryeministrit në detyrë të Shqipërisë, Edi Rama, të një prej zyrtarëve më të lartë të FBI-së, shefit të zyrës së kundërzbulimit të FBI-së në Nju-Jork, Charles Viti 2023 182 Legjislatura e 10-të McGonigal.']"
123,92,123_vendeve_bashkëpunimin_bashkëpunimit_bashkëpunimi,"['vendeve', 'bashkëpunimin', 'bashkëpunimit', 'bashkëpunimi', 'tona', 'ndërsjellë', 'dyja', 'fusha', 'marrëveshje', 'përbashkët']","['Të nderuar kolegë, ju ftoj ta miratojmë këtë marrëveshje, pasi është një hap kyç për forcimin e lidhjeve ekonomike dhe shoqërore mes dy vendeve tona, si dhe nxit bashkëpunimin e mëtejshëm mes qeverive të të dyja vendeve.', 'Në mbështetje të mëtejshme drejt liberalizimit, transparencës dhe zbatimit të parimeve të OKB- së, të tregtisë dhe forumeve të tjera shumëpalëshe në lidhje me tregtinë dhe investimet, marrëveshja synon edhe bashkëpunimin në fushën e mbrojtjes së mjedisit dhe ruajtjes së ekosistemeve, në fushën e rendit dhe sigurisë, në fushën e mbrojtjes, në fushën kulturore dhe të trashëgimisë kulturore për mirëkuptimin e ndërsjellët midis popujve, bashkëpunim në nivel rajonal dhe bashkiak, sidomos në sferën e mbrojtjes sociale, bashkëpunimit për funksionimin normal të misioneve diplomatike, konsullore dhe të misioneve të tjera zyrtare të njëra-tjetrës, por vlen të theksohet se në tërësinë e saj, duke mbajtur parasysh mbështetjen kryesisht politike e diplomatike, që ka ndërmarrë Shqipëria në raport me Ukrainën, edhe në dritën e agresionit të Rusisë ndaj saj, por edhe zhvillimeve të tjera aktuale ndërkombëtare, është e padiskutueshme se marrëveshja vendos themelet e bashkëpunimit me një respekt të ndërsjellë dhe të angazhimeve pozitive me përfitime të ndërsjella për të dyja vendet tona mike dhe aleate.', 'Në këtë marrëveshje bashkëpunimi bëhet e qartë që të dyja vendet kanë interes të ndërsjellë në forcimin e lidhjeve ekonomike dhe promovimin e pjesëmarrjes së ndërsjellë tregtare në fushën e tregtisë dhe investimeve, energjisë dhe minierave, transportit dhe infrastrukturës, bujqësisë, turizmit dhe mjedisit, arsimit dhe shkencës, kulturës, si dhe dëshirojnë të inkurajojnë bashkëpunimin ekonomik tregtar dhe partneritetet strategjike në sektorë dhe fusha specifike të interesit, mbi bazën e barazisë dhe përfitimeve të ndërsjella.']"
124,92,124_vaksina_vaksinës_vaksinimit_vaksinave,"['vaksina', 'vaksinës', 'vaksinimit', 'vaksinave', 'pfizer', 'vaksinat', 'doza', 'dozave', 'pediatrike', 'vaksinash']","['Së dyti, lidhur me sasinë e dozave të vaksinave, që do të administrohen përgjatë vitit 2022, duke marrë parasysh numrin e ndryshuar në bazë të këtij amendimi të tretë të marrëveshjes me Pfizer, por edhe mundësinë e marrjes në dorëzim të dozave të vaksinave, që 283 Legjislatura e 10-të Viti 2022 Shqipëria do të mund të marrë nga shtetet e tjera apo organizata ndërkombëtare, a e ka parashikuar Ministria e Shëndetësisë numrin e dozave që pritet të administrohen për popullatën, duke marrë parasysh faktin se parashikohet aplikimi edhe për grupmoshat pediatrike, pasi të merret miratimi nga Komiteti i Ekspertëve?', 'Kjo marrëveshje, që ne kalojmë sot për miratim në Kuvendin e Shqipërisë, na vë në dispozicion edhe 1 milionë doza të reja të vaksinës Pfizer, të cilat do të vijnë sipas një kalendari, duke filluar nga muaji maj dhe deri në muajin dhjetor të këtij viti, duke përcaktuar të gjitha afatet e kohës dhe të jetëgjatësisë së vaksinës, në mënyrë që të kemi të gjithë mundësinë për t’i përdorur në kohë sipas planit të përgjigjes së vaksinimit në vendin tonë.', 'Nëpërmjet Planit tonë Kombëtar të Vaksinimit anti- COVID, nëpërmjet planit tonë të përgjigjes 2021-2023 janë të parashikuar këta hapa, pra nuk është se thjesht po blejmë vaksina për të blerë vaksina, por po blejmë vaksina për t’iu përgjigjur nevojës së popullatës për të qenë të mbrojtur dhe për t’u përgjigjur të gjitha atyre varianteve të reja që mund të vijnë në të ardhmen, pasi vetë kontrata me Pfizer-in lejon që, nëse do të ketë një virus të ri dhe nëse do të ketë një adaptim të vaksinës, të mundet të përfitojmë nëpërmjet kësaj marrëveshjeje vaksinën e adaptuar, gjithashtu, në momentin që do të miratohet nga Komiteti Teknik i Ekspertëve të kemi mundësi të kemi dozën e duhur të vaksinave për fëmijët e moshës pediatrike, ashtu sikurse ka ndodhur edhe në vende të tjera.']"
125,91,125_kompani_kompanitë_sigurimeve_treg,"['kompani', 'kompanitë', 'sigurimeve', 'treg', 'kompanive', 'tenderët', 'sigurimit', 'tendera', 'firma', 'tenderë']","['Vetëm 4 kompani ngelen. Të jeni të sigurt që nga 10, do të përfundojnë në 9 kompani, sepse 1 kompani do të ketë mundësi, pasi çdo ditë, ata që marrin para në sistemin bankar...', 'Pse e keni për 300 kompani? Pse nuk e keni për 200 kompani? Pse nuk e keni për 10?', 'Janë të njëjtat kompani dhe nuk ndryshojnë: as del një kompani, as hyn një kompani tjetër, as bashkohen disa kompani për t’u bërë më të mëdha apo për të kapur një pjesë më të madhe të tregut.']"
126,90,126_rezolutë_rezoluta_projektrezolutë_rezolutën,"['rezolutë', 'rezoluta', 'projektrezolutë', 'rezolutën', 'rezolutës', 'ftoj', 'miratojmë', 'rezolutat', 'miratuar', 'dakord']","['Unë do t’ju them disa gjëra. Së pari, është thënë që është miratuar një rezolutë.', 'Ne do të dalim me një rezolutë. Dikush thotë që do të ishte mirë të kishim rezolutën tonë.', 'Ky Kuvend edhe sot do të miratojë një rezolutë dhe ka miratuar një rezolutë edhe në vitin e kaluar.']"
127,90,127_protestë_protesta_protestat_protestojmë,"['protestë', 'protesta', 'protestat', 'protestojmë', 'protestojnë', 'banorët', 'korrik', 'protestosh', 'protestuar', 'protestuesve']","['Të dalësh e të protestosh për një çështje që i përket drejtësisë, për një çështje që ju keni votuar t’ia besoni drejtësisë, nuk është një protestë, që ka për qëllim të besojë tek ajo, por është një protestë që ka për qëllim të bëjë presion tek ajo.', 'Banorët e Krujës kanë kohë që janë ngritur në protestë për këtë problem që i shqetëson, por protesta bie në veshin e shurdhër të qeverisë.', 'Mos mendoni këtu, sepse dëgjova ministren, se është protestë për paga, është protestë për dinjitet, është protestë për liri akademike, është protestë për autonomi universitare, është protestë për kërkim shkencor.']"
128,90,128_vasili_nderuar_petrit_kryetare,"['vasili', 'nderuar', 'petrit', 'kryetare', 'kolegë', 'tabaku', 'zonja', 'deputetë', 'bano', 'eralda']","['Petrit Vasili – E nderuar Kryetare e Kuvendit, Të nderuar kolegë deputetë, Sot, në mënyrë normale, do të ishte diskutimi më i gjatë dhe më intensiv në lidhje me këtë çështje.', 'Fjalën e ka zoti Vasili, 10 minuta në dispozicion. Petrit Vasili – E nderuar drejtuese e seancës, Të nderuar kolegë, Sot ne vazhdojmë të diskutojmë për raportimet që bëjnë institucionet e pavarura.', 'Të nderuar kolegë deputetë, Të nderuar qytetarë, (Ndërhyrje pa mikrofon) E nderuar zonja Kryetare e Kuvendit...']"
129,90,129_eksportet_eksporteve_importet_rritje,"['eksportet', 'eksporteve', 'importet', 'rritje', 'sasi', 'importeve', 'rritur', 'produkteve', 'çmimeve', 'çmimet']","['Nëse ka, në fakt, një shembull më konkret të performancës të këtyre eksporteve, ka qenë kultura e ullirit, pikërisht gjatë 5-mujorit të parë të këtij viti, ku eksportet kanë arritur një sasi prej 2600 tonë ose rreth 38 herë më shumë në sasi dhe 26,7 herë më shumë në Viti 2023 48 Legjislatura e 10-të vlerë, krahasuar vetëm me një vit më përpara.', 'Në qoftë se flasim për eksportet e këtij viti, në periudhën janar-shtator kemi një rritje në sasi me gati 19% dhe vetëm në vendet e Bashkimit Europian me 22%, që vjen si një tregues jo vetëm i rritjes së eksporteve edhe në vitin korrent që flasim, por edhe për faktin se në vendet e Bashkimit Europian kjo është edhe një rritje më e qenësishme, që flet edhe për cilësinë e këtyre produkteve.', 'Pra, janë rritur eksportet, kryesisht për shkak të rritjes së çmimit, por importet janë rritur më shumë se eksportet.']"
130,90,130_shprehen_grupet_votimit_diskutime,"['shprehen', 'grupet', 'votimit', 'diskutime', 'parlamentare', 'koha', 'shtesa', 'nr', 'miratim', 'projektligji']","['Diskutime (Shprehen grupet parlamentare.) Koha e votimit 6. Projektligji “Për disa shtesa dhe ndryshime në ligjin nr.', 'Diskutime (Shprehen grupet parlamentare.) Koha e votimit 7. Projektligji “Për disa shtesa dhe ndryshime në ligjin nr.', 'Diskutime (Shprehen grupet parlamentare.) Koha e votimit 8. Projektligji “Për disa ndryshime dhe shtesa në ligjin nr.']"
131,89,131_naftës_naftë_karburantit_litër,"['naftës', 'naftë', 'karburantit', 'litër', 'shqipëri', 'karburanteve', 'çmimi', 'kushton', 'lekë', 'litri']","['Çmimi naftës është 189 lekë litri. Çfarë ndodh në Maqedoni? Çmimi i naftës është 196 lekë litri.', 'Një litër naftë në Kosovë dhe Maqedoninë e Veriut kushton 1 euro, në Itali 1,6 euro, ndërsa në vendin tonë kushton 1,7 euro.', 'Në një kohë që çmimi i naftës këtu në Shqipëri është 2,05 euro për litër, në Maqedoni është 1,37 euro, kurse në Kosovë është 1,7 euro.']"
132,89,132_basha_lulzim_bashari_zoti,"['basha', 'lulzim', 'bashari', 'zoti', 'demokratike', 'evgjeni', 'zotin', 'partisë', 'kryetari', 'nikolla']","['Menjëherë pas replikës së zotit Basha, do ta marrë fjalën zoti Berisha, për procedurë. Lulzim Basha – Që e gjithë kjo betejë po bëhet për drejtësi, s’ka diskutim.', 'Lindita Nikolla - Ju lutem, zoti Basha, përfundojeni fjalën tuaj, sepse ka mbaruar koha! Lulzim Basha -...', 'Tani kam një pyetje të dytë për ju: ku është Lulzim Basha? Pse nuk vjen në sallë Lulzim Basha?']"
133,88,133_administrative_administrativ_sanksioneve_paralajmërimi,"['administrative', 'administrativ', 'sanksioneve', 'paralajmërimi', 'disiplinore', 'prokurimit', 'masa', 'sanksionet', 'sanksione', 'dënim']","['Elisa Spiropali – Mirë, zoti Braçe dhe më pas zoti Bushati. Erion Braçe - Pra, edhe një herë, ju po thoni që ky përkufizim këtu, dënim administrativ, ka për qëllim që të sanksionojë që masa e parë administrative apo dënimi i parë administrativ, do të jetë këshillimi?', 'Parashikimi në legjislacionin e fushës së mbrojtjes së mjedisit të dënimit me gjobë ose me një masë administrative si kundërvajtje, si titull ekzekutiv, gjykohet se do të sjellë efektivitet në ekzekutimin e sanksioneve që vendosen nga organet e ndryshme administrative.', 'Si synim të dytë, projektligjet parashikojnë që në legjislacionin e mbrojtjes së mjedisit dënimi me gjobë të jetë titull ekzekutiv, me qëllim që pas shterimit të ankimimit administrativ të sjellë efektivitet në ekzekutimin e sanksioneve që vendosen nga organet administrative.']"
134,86,134_kpp_ja_klsh_klp,"['kpp', 'ja', 'klsh', 'klp', 'ankesave', 'prokurimit', 'ekonomikë', 'kontraktore', 'auditimit', 'audituese']","['Open Contracting Partnership ka nxjerrë një artikull dedikuar KPP- së për përfitimet e sistemit të ankesave, ndërkohë në raportin e SIGMA-s dhe OECD-së për vitin 2021, përmirësimi i ndjeshëm i performancës së KPP-së është vlerësuar me vlerësimin maksimal, 5 nga 5, për sistemin e apelimit elektronik dhe uljen e ankesave të trajtuara jashtë afatit.', 'Në lidhje me fazën e dytë të masave të marra për të rritur transparencën në fushën e prokurimit publik, KPP-ja vlerëson nismën e ndërmarrë nga Kuvendi i Shqipërisë për ndryshimin e ligjit të prokurimit publik, ku disa ndryshime thelbësore kanë ardhur si pasojë e propozimeve të KPP-së.', 'KPP-ja, në vitet 2022 dhe 2023 ka realizuar pyetësor të vazhdueshëm mbi indikatorët e performancës së KPP-së, të hapur për operatorët ekonomikë.']"
135,85,135_gjenocidit_srebrenicë_gjenocidi_gjenocidin,"['gjenocidit', 'srebrenicë', 'gjenocidi', 'gjenocidin', 'srebrenicës', 'përkujtimin', 'viktimave', 'gjenocid', 'nderimin', 'rezolutë']","['Ju, të nderuar kolegë, e quani këtë rezolutë “Për përkujtimin dhe nderimin e viktimave të gjenocidit Srebrenicës”.', 'Kush është dakord? Kundër? Nuk ka. Miratohet. Vijojmë me projektrezolutën “Për përkujtimin dhe nderimin e viktimave të gjenocidit në Srebrenicë”.', 'Në përputhje të plotë me rezolutat e Parlamentit Europian të viteve 2005, 2009 dhe të vitit 2015 për përkujtimin e gjenocidit në Srebrenicë, rezoluta shqiptare i kërkon qeverise të nderojë viktimat e gjenocidit në Srebrenicë dhe të shpallë datën 11 korrik si Ditën e Përkujtimit të Gjenocidit në Srebrenicë.']"
